EbN0_dB,BER_soft,BER_hard,BER_bpsk
0.0,0.0920255000,0.1924506000,0.0786496035
1.0,0.0426936000,0.1265953000,0.0562819520
2.0,0.0150007000,0.0703154000,0.0375061284
3.0,0.0039010000,0.0317914000,0.0228784076
4.0,0.0007559000,0.0113992000,0.0125008180
5.0,0.0001046000,0.0031786000,0.0059538671
6.0,0.0000143000,0.0006673000,0.0023882908
7.0,0.0000009000,0.0001012000,0.0007726748
8.0,0.0000000000,0.0000119000,0.0001909078
9.0,0.0000000000,0.0000016000,0.0000336272
10.0,0.0000000000,0.0000002000,0.0000038721
